,drug,cell_line,IC50
120,Nutlin-3a (-),HL60,3.685447
121,OSI-027,HL60,3.820561
122,OTX015,HL60,-0.554517
123,Obatoclax Mesylate,HL60,0.645424
124,Osimertinib,HL60,1.05863
125,Oxaliplatin,HL60,2.398582
126,P22077,HL60,1.495135
127,PD0325901,HL60,-3.501066
128,PD173074,HL60,4.208856
129,PFI-1,HL60,2.459947
130,PFI3,HL60,4.259533
131,PLX-4720,HL60,3.794436
132,PRIMA-1MET,HL60,5.892109
133,PRT062607,HL60,2.149309
134,Palbociclib,HL60,2.306101
135,Pevonedistat,HL60,-1.459439
136,Picolinici-acid,HL60,4.740492
137,Pictilisib,HL60,1.262272
138,Podophyllotoxin bromide,HL60,-1.674663
139,Pyridostatin,HL60,4.298902
140,RO-3306,HL60,4.847768
141,RVX-208,HL60,3.35364
142,Rapamycin,HL60,-1.398099
143,Refametinib,HL60,-1.167613
144,Remodelin,HL60,3.243689
145,Ribociclib,HL60,3.433514
146,Romidepsin,HL60,-6.094023
147,Rucaparib,HL60,3.78804
148,Ruxolitinib,HL60,3.372182
149,SB590885,HL60,3.906465
150,SGC-CBP30,HL60,3.667655
151,SGC0946,HL60,1.874233
152,SN-38,HL60,-5.868396
153,Sabutoclax,HL60,0.814406
154,Sapitinib,HL60,3.307865
155,Savolitinib,HL60,1.442681
156,Schweinfurthin A,HL60,-1.71815
157,Selumetinib,HL60,0.441364
158,Sepantronium bromide,HL60,-5.547198
159,Sinularin,HL60,3.352685
160,Sorafenib,HL60,0.645929
161,Staurosporine,HL60,-2.354547
162,Talazoparib,HL60,0.970772
163,Tamoxifen,HL60,2.773471
164,Tanespimycin,HL60,-0.02127
165,Taselisib,HL60,1.075933
166,Telomerase Inhibitor IX,HL60,-0.174372
167,Temozolomide,HL60,5.287843
168,Temsirolimus,HL60,0.734264
169,Teniposide,HL60,-1.596655
170,Topotecan,HL60,-1.336943
171,Trametinib,HL60,-3.320319
172,UMI-77,HL60,1.435243
173,UNC0379,HL60,4.588174
174,UNC0638,HL60,2.025077
175,Ulixertinib,HL60,1.306203
176,Uprosertib,HL60,3.358422
177,VE-822,HL60,3.054477
178,VE821,HL60,4.8754
179,VX-11e,HL60,2.050311
180,Veliparib,HL60,4.110177
181,Venetoclax,HL60,-4.488296
182,Vinblastine,HL60,-6.310347
183,Vinorelbine,HL60,-4.581106
184,Vismodegib,HL60,3.578583
185,WEHI-539,HL60,3.762251
186,WIKI4,HL60,2.307919
187,WZ4003,HL60,3.666695
188,Wee1 Inhibitor,HL60,0.84796
189,Wnt-C59,HL60,3.23988
190,XAV939,HL60,4.349326
191,YK-4-279,HL60,0.316688
192,ZM447439,HL60,-0.106262
193,Zoledronate,HL60,3.148767
194,alpha-lipoic acid,HL60,5.007582
195,glutathione,HL60,8.188005
196,5-Fluorouracil,HEL,2.462663
197,ABT737,HEL,0.727914
198,AGI-5198,HEL,4.37324
199,AGK2,HEL,3.435404
200,AMG-319,HEL,4.372633
201,AT13148,HEL,2.924252
202,AZ6102,HEL,1.741545
203,AZ960,HEL,-0.45043
204,AZD1208,HEL,3.969908
205,AZD1332,HEL,3.827417
206,AZD3759,HEL,1.690591
207,AZD4547,HEL,2.660068
208,AZD5153,HEL,-1.579341
209,AZD5363,HEL,4.258594
210,AZD5438,HEL,1.373512
211,AZD5582,HEL,4.464754
212,AZD5991,HEL,4.373228
213,AZD6482,HEL,3.83721
214,AZD6738,HEL,-0.401548
215,AZD7762,HEL,-1.444233
216,AZD8186,HEL,4.372257
217,Afatinib,HEL,1.830878
218,Afuresertib,HEL,2.702003
219,Alisertib,HEL,2.270216
220,Alpelisib,HEL,3.426936
221,Avagacestat,HEL,4.044609
222,Axitinib,HEL,2.380458
223,BIBR-1532,HEL,4.341508
224,BMS-345541,HEL,1.703818
225,BMS-536924,HEL,1.081879
226,BMS-754807,HEL,2.841303
227,BX795,HEL,2.011093
228,Bleomycin,HEL,2.162377
229,Bortezomib,HEL,-5.526198
230,Bromosporine,HEL,1.232807
231,Buparlisib,HEL,1.076224
232,CCT-018159,HEL,2.639738
233,CCT007093,HEL,3.671145
234,CZC24832,HEL,4.457007
235,Camptothecin,HEL,-3.978419
236,Carmustine,HEL,4.675045
237,Crizotinib,HEL,1.63062
238,Cyclophosphamide,HEL,4.371572
239,Dabrafenib,HEL,3.765882
240,Dacarbazine,HEL,4.485565
241,Dactinomycin,HEL,-4.093321
242,Dactolisib,HEL,-2.54546
243,Daporinad,HEL,-5.692192
244,Dasatinib,HEL,2.165652
245,Dihydrorotenone,HEL,2.003986
246,Dinaciclib,HEL,-3.721416
247,Docetaxel,HEL,-2.894219
248,Doramapimod,HEL,2.989417
249,EHT-1864,HEL,2.898275
250,EPZ004777,HEL,3.648165
251,EPZ5676,HEL,4.556531
252,Elephantin,HEL,2.249668
253,Elesclomol,HEL,-3.873658
254,Entinostat,HEL,0.481834
255,Entospletinib,HEL,2.510442
256,Epirubicin,HEL,-1.974206
257,Erlotinib,HEL,2.832938
258,Fludarabine,HEL,1.096348
259,Foretinib,HEL,2.901355
260,Fulvestrant,HEL,2.61263
261,GDC0810,HEL,4.373016
262,GNE-317,HEL,1.206981
263,GSK-LSD1,HEL,-1.014576
264,GSK1904529A,HEL,4.18719
265,GSK2110183B,HEL,3.164307
266,GSK2578215A,HEL,3.7717
267,GSK2606414,HEL,2.635478
268,GSK269962A,HEL,2.759768
269,GSK2801,HEL,4.201838
270,GSK343,HEL,1.867207
271,GSK591,HEL,2.624115
272,Gallibiscoquinazole,HEL,2.008598
273,Gefitinib,HEL,2.442367
274,Gemcitabine,HEL,-4.820891
275,I-BET-762,HEL,1.439985
276,I-BRD9,HEL,2.473141
277,IOX2,HEL,1.277448
278,IWP-2,HEL,2.290308
279,Ibrutinib,HEL,3.803914
280,Ipatasertib,HEL,3.972406
281,Irinotecan,HEL,1.118997
282,JNK Inhibitor VIII,HEL,3.199606
283,JQ1,HEL,-0.718532
284,KU-55933,HEL,4.139366
285,L-Oxonoreleagnine,HEL,1.962914
286,LCL161,HEL,4.511036
287,LGK974,HEL,3.820743
288,LJI308,HEL,4.167601
289,LMP744,HEL,-2.995625
290,LY2109761,HEL,3.744833
291,Leflunomide,HEL,3.650549
292,Lenalidomide,HEL,4.367074
293,Lestaurtinib,HEL,-0.851305
294,Linsitinib,HEL,3.230307
295,Luminespib,HEL,-3.507849
296,MG-132,HEL,-1.846089
297,MIRA-1,HEL,3.277142
298,MK-1775,HEL,-1.025868
299,MK-2206,HEL,3.271386
300,MK-8776,HEL,0.553272
301,MN-64,HEL,2.697512
302,Methotrexate,HEL,-2.372109
303,Mirin,HEL,3.667897
304,Mitoxantrone,HEL,-1.480227
305,Motesanib,HEL,4.093971
306,NU7441,HEL,1.688381
307,Navitoclax,HEL,-0.098989
308,Nelarabine,HEL,3.647548
309,Nilotinib,HEL,3.046639
310,Niraparib,HEL,1.954565
311,Nutlin-3a (-),HEL,4.287108
312,OSI-027,HEL,1.843611
313,OTX015,HEL,-0.090018
314,Obatoclax Mesylate,HEL,1.18841
315,Osimertinib,HEL,1.743062
316,Oxaliplatin,HEL,2.097369
317,P22077,HEL,1.974511
318,PD0325901,HEL,2.94561
319,PD173074,HEL,2.836276
320,PF-4708671,HEL,2.541509
321,PFI-1,HEL,2.288104
322,PFI3,HEL,4.011434
323,PLX-4720,HEL,3.103018
324,PRIMA-1MET,HEL,2.840747
325,PRT062607,HEL,2.055156
326,Palbociclib,HEL,1.188299
327,Pevonedistat,HEL,-2.09157
328,Picolinici-acid,HEL,4.305891
329,Pictilisib,HEL,1.988692
330,Piperlongumine,HEL,1.168082
331,Podophyllotoxin bromide,HEL,-1.467516
332,Pyridostatin,HEL,4.373158
333,RO-3306,HEL,1.500782
334,RVX-208,HEL,4.288528
335,Rapamycin,HEL,-1.231258
336,Refametinib,HEL,4.266376
337,Ribociclib,HEL,2.030058
338,Romidepsin,HEL,-5.02797
339,Rucaparib,HEL,3.221512
340,Ruxolitinib,HEL,1.434941
341,SB505124,HEL,3.876046
342,SB590885,HEL,3.544834
343,SGC-CBP30,HEL,3.113634
344,SGC0946,HEL,1.168598
345,SL0101,HEL,3.070563
346,SN-38,HEL,-4.767978
347,Sabutoclax,HEL,-1.540775
348,Sapitinib,HEL,3.910589
349,Savolitinib,HEL,1.108371
350,Schweinfurthin A,HEL,-1.57222
351,Selumetinib,HEL,4.37794
352,Sepantronium bromide,HEL,-1.83873
353,Sinularin,HEL,2.954225
354,Sorafenib,HEL,1.859532
355,Staurosporine,HEL,-3.532707
356,Talazoparib,HEL,0.547618
357,Tamoxifen,HEL,4.306699
358,Tanespimycin,HEL,0.217353
359,Taselisib,HEL,4.241866
360,Telomerase Inhibitor IX,HEL,0.007884
361,Temozolomide,HEL,4.056126
362,Temsirolimus,HEL,0.472727
363,Teniposide,HEL,-1.205994
364,Topotecan,HEL,-1.103777
365,Tozasertib,HEL,1.441849
366,Trametinib,HEL,1.549934
367,Tretinoin,HEL,3.764337
368,Ulixertinib,HEL,3.630857
369,Uprosertib,HEL,3.792156
370,VE-822,HEL,-0.014849
371,VE821,HEL,0.905257
372,VX-11e,HEL,2.47524
373,Veliparib,HEL,4.214052
374,Venetoclax,HEL,2.791771
375,Vinorelbine,HEL,-2.338475
376,Vismodegib,HEL,3.815731
377,WEHI-539,HEL,0.162486
378,WIKI4,HEL,3.705608
379,WZ4003,HEL,3.187116
380,Wee1 Inhibitor,HEL,0.035601
381,Wnt-C59,HEL,3.354435
382,XAV939,HEL,3.142521
383,YK-4-279,HEL,2.033787
384,ZM447439,HEL,2.134254
385,Zoledronate,HEL,2.616975
386,5-Fluorouracil,MONOMAC6,0.072576
387,5-azacytidine,MONOMAC6,-0.026691
388,A-366,MONOMAC6,2.943793
389,ABT737,MONOMAC6,-0.383812
390,AGI-5198,MONOMAC6,3.6054
391,AGK2,MONOMAC6,1.891061
392,AMG-319,MONOMAC6,3.168427
393,AT13148,MONOMAC6,2.515083
394,AZ6102,MONOMAC6,1.096492
395,AZD3759,MONOMAC6,2.26116
396,AZD4547,MONOMAC6,0.93736
397,AZD5363,MONOMAC6,0.668029
398,AZD6738,MONOMAC6,0.37761
399,AZD7762,MONOMAC6,-5.224524
400,AZD8055,MONOMAC6,-0.519294
401,AZD8186,MONOMAC6,0.329936
402,Afatinib,MONOMAC6,0.410422
403,Afuresertib,MONOMAC6,-0.969202
404,Alisertib,MONOMAC6,1.402632
405,Alpelisib,MONOMAC6,3.08351
406,Avagacestat,MONOMAC6,3.139284
407,Axitinib,MONOMAC6,1.635504
408,BIBR-1532,MONOMAC6,3.771469
409,BMS-536924,MONOMAC6,-1.039763
410,BMS-754807,MONOMAC6,1.114902
411,Bleomycin (50 uM),MONOMAC6,4.258549
412,Bortezomib,MONOMAC6,-5.692622
413,Buparlisib,MONOMAC6,-0.259172
414,CCT007093,MONOMAC6,4.779869
415,CPI-637,MONOMAC6,1.387387
416,Camptothecin,MONOMAC6,-3.878581
417,Cisplatin,MONOMAC6,1.057342
418,Crizotinib,MONOMAC6,0.863304
419,Cyclophosphamide,MONOMAC6,4.761188
420,Cytarabine,MONOMAC6,1.6038
421,Dabrafenib,MONOMAC6,1.593584
422,Dactinomycin,MONOMAC6,-5.551418
423,Dactolisib,MONOMAC6,-3.14532
424,Daporinad,MONOMAC6,-6.360406
425,Dasatinib,MONOMAC6,0.601436
426,Docetaxel,MONOMAC6,-5.362865
427,Doramapimod,MONOMAC6,3.319389
428,EHT-1864,MONOMAC6,2.119919
429,EPZ004777,MONOMAC6,3.643607
430,EPZ5676,MONOMAC6,3.383985
431,Epirubicin,MONOMAC6,-1.279449
432,Erlotinib,MONOMAC6,1.927682
433,Foretinib,MONOMAC6,-5.432385
434,Fulvestrant,MONOMAC6,1.171788
435,GDC0810,MONOMAC6,4.653824
436,GNE-317,MONOMAC6,-0.384044
437,GSK1904529A,MONOMAC6,3.361578
438,GSK2578215A,MONOMAC6,3.959929
439,GSK2830371,MONOMAC6,3.840053
440,GSK343,MONOMAC6,3.167461
441,GSK591,MONOMAC6,3.8941
442,Gefitinib,MONOMAC6,1.772904
443,Gemcitabine,MONOMAC6,-4.843396
444,I-BRD9,MONOMAC6,1.345108
445,ICL-SIRT078,MONOMAC6,2.162168
446,Ipatasertib,MONOMAC6,0.422304
447,Irinotecan,MONOMAC6,0.09869
448,JNK Inhibitor VIII,MONOMAC6,4.696689
449,JQ1,MONOMAC6,-1.728477
450,KU-55933,MONOMAC6,3.387302
451,LGK974,MONOMAC6,2.712634
452,LJI308,MONOMAC6,3.392309
453,Lenalidomide,MONOMAC6,3.754978
454,Lestaurtinib,MONOMAC6,-4.419524
455,Linsitinib,MONOMAC6,3.131902
456,Luminespib,MONOMAC6,-4.936914
457,MG-132,MONOMAC6,-2.050918
458,MIM1,MONOMAC6,3.957696
459,MIRA-1,MONOMAC6,3.90638
460,MK-1775,MONOMAC6,-1.030491
461,MK-2206,MONOMAC6,0.212378
462,MK-8776,MONOMAC6,-0.148302
463,Methotrexate,MONOMAC6,-4.703608
464,Motesanib,MONOMAC6,4.225031
465,Mycophenolic acid,MONOMAC6,1.003588
466,N-acetyl cysteine,MONOMAC6,9.400527
467,NU7441,MONOMAC6,1.289203
468,Navitoclax,MONOMAC6,1.415579
469,Nilotinib,MONOMAC6,1.801977
470,Nutlin-3a (-),MONOMAC6,4.336738
471,OSI-027,MONOMAC6,1.119575
472,Obatoclax Mesylate,MONOMAC6,-0.9275
473,Osimertinib,MONOMAC6,0.550132
474,Oxaliplatin,MONOMAC6,1.637134
475,P22077,MONOMAC6,0.986203
476,PD0325901,MONOMAC6,0.066447
477,PD173074,MONOMAC6,2.519559
478,PFI-1,MONOMAC6,1.465349
479,PLX-4720,MONOMAC6,0.4971
480,Palbociclib,MONOMAC6,1.859921
481,Pevonedistat,MONOMAC6,-4.033075
482,Pictilisib,MONOMAC6,-0.349823
483,Pyridostatin,MONOMAC6,2.796411
484,RO-3306,MONOMAC6,2.053315
485,Rapamycin,MONOMAC6,-3.108759
486,Refametinib,MONOMAC6,-0.360598
487,Ribociclib,MONOMAC6,3.069551
488,Rucaparib,MONOMAC6,2.372484
489,SB590885,MONOMAC6,4.086722
490,SGC0946,MONOMAC6,1.478139
491,SN-38,MONOMAC6,-5.062373
492,Sapitinib,MONOMAC6,3.48152
493,Savolitinib,MONOMAC6,0.797373
494,Selumetinib,MONOMAC6,1.823184
495,Sepantronium bromide,MONOMAC6,-4.214986
496,Sorafenib,MONOMAC6,-4.572455
497,Staurosporine,MONOMAC6,-5.909916
498,TW 37,MONOMAC6,0.312281
499,Talazoparib,MONOMAC6,0.707492
500,Tamoxifen,MONOMAC6,1.862034
501,Tanespimycin,MONOMAC6,-1.510369
502,Taselisib,MONOMAC6,-0.266481
503,Telomerase Inhibitor IX,MONOMAC6,-0.722456
504,Temozolomide,MONOMAC6,3.176285
505,Temsirolimus,MONOMAC6,-0.181792
506,Trametinib,MONOMAC6,-1.376072
507,UMI-77,MONOMAC6,1.620338
508,UNC0379,MONOMAC6,1.334856
509,UNC0638,MONOMAC6,1.883743
510,Ulixertinib,MONOMAC6,1.703154
511,Uprosertib,MONOMAC6,1.111944
512,VE821,MONOMAC6,2.003538
513,VX-11e,MONOMAC6,1.284252
514,Veliparib,MONOMAC6,3.977152
515,Venetoclax,MONOMAC6,0.578429
516,Vinblastine,MONOMAC6,-6.359207
517,Vinorelbine,MONOMAC6,-4.617505
518,Vismodegib,MONOMAC6,4.084193
519,WEHI-539,MONOMAC6,2.517096
520,WIKI4,MONOMAC6,4.778531
521,Wee1 Inhibitor,MONOMAC6,-0.52499
522,YK-4-279,MONOMAC6,0.335603
523,ZM447439,MONOMAC6,0.962118
524,alpha-lipoic acid,MONOMAC6,6.211133
525,glutathione,MONOMAC6,8.923178
526,5-Fluorouracil,LS513,1.742438
527,5-azacytidine,LS513,3.380988
528,A-366,LS513,3.638545
529,AGK2,LS513,2.611247
530,AT13148,LS513,4.4434
531,AZ6102,LS513,0.798365
532,AZ960,LS513,2.629074
533,AZD1208,LS513,3.668332
534,AZD1332,LS513,4.486385
535,AZD3759,LS513,1.446812
536,AZD4547,LS513,3.99813
537,AZD5153,LS513,2.064885
538,AZD5438,LS513,0.993794
539,AZD5582,LS513,4.829677
540,AZD5991,LS513,6.149584
541,AZD7762,LS513,0.715533
542,AZD8055,LS513,-0.138152
543,Afatinib,LS513,-0.259734
544,Alisertib,LS513,0.25052
545,Alpelisib,LS513,3.180765
546,Avagacestat,LS513,4.887107
547,Axitinib,LS513,2.513083
548,BMS-345541,LS513,2.135081
549,BMS-754807,LS513,-1.114806
550,Bleomycin,LS513,2.038504
551,Bleomycin (50 uM),LS513,1.510962
552,Bromosporine,LS513,1.947817
553,CCT007093,LS513,5.698212
554,CPI-637,LS513,5.611521
555,CZC24832,LS513,4.956259
556,Camptothecin,LS513,-3.160246
557,Carmustine,LS513,6.951097
558,Cisplatin,LS513,2.919147
559,Crizotinib,LS513,1.277685
560,Dabrafenib,LS513,4.404782
561,Dacarbazine,LS513,6.567301
562,Dactinomycin,LS513,-3.760591
563,Daporinad,LS513,-3.855835
564,Dasatinib,LS513,2.264065
565,Dihydrorotenone,LS513,2.075017
566,Dinaciclib,LS513,-2.886744
567,Docetaxel,LS513,-3.711243
568,Doramapimod,LS513,5.35352
569,EHT-1864,LS513,3.170517
570,EPZ004777,LS513,5.859496
571,EPZ5676,LS513,5.133465
572,Elephantin,LS513,1.96435
573,Entinostat,LS513,1.350856
574,Entospletinib,LS513,4.500123
575,Fludarabine,LS513,3.534461
576,Fulvestrant,LS513,6.0177
577,GSK-LSD1,LS513,1.683692
578,GSK1904529A,LS513,4.405936
579,GSK2110183B,LS513,1.405565
580,GSK2606414,LS513,3.552131
581,GSK2801,LS513,5.172107
582,GSK2830371,LS513,5.658243
583,GSK343,LS513,3.158856
584,GSK591,LS513,4.441317
585,Gallibiscoquinazole,LS513,3.494294
586,Gemcitabine,LS513,-3.243612
587,I-BET-762,LS513,3.169127
588,IWP-2,LS513,3.441628
589,Ibrutinib,LS513,4.813731
590,Irinotecan,LS513,1.813011
591,JNK Inhibitor VIII,LS513,5.540519
592,JQ1,LS513,1.464482
593,KU-55933,LS513,5.775309
594,L-Oxonoreleagnine,LS513,4.146112
595,LCL161,LS513,5.528602
596,LGK974,LS513,4.447995
597,LJI308,LS513,4.729262
598,LMP744,LS513,-0.66299
599,LY2109761,LS513,4.92314
600,Leflunomide,LS513,5.065966
601,Lenalidomide,LS513,5.504545
602,Lestaurtinib,LS513,0.024441
603,Linsitinib,LS513,1.593206
604,Luminespib,LS513,-3.726129
605,MG-132,LS513,-1.429434
606,MIRA-1,LS513,4.312625
607,MK-1775,LS513,-0.595952
608,MK-2206,LS513,0.824578
609,MN-64,LS513,5.071992
610,Methotrexate,LS513,-0.864728
611,Mirin,LS513,4.089461
612,Mitoxantrone,LS513,0.384495
613,Motesanib,LS513,5.775309
614,Mycophenolic acid,LS513,0.645459
615,N-acetyl cysteine,LS513,8.988045
616,NU7441,LS513,3.189255
617,Navitoclax,LS513,2.150489
618,Nelarabine,LS513,6.796692
619,Niraparib,LS513,3.769896
620,Nutlin-3a (-),LS513,1.406242
621,OSI-027,LS513,4.801549
622,OTX015,LS513,2.015937
623,Obatoclax Mesylate,LS513,0.521782
624,Oxaliplatin,LS513,1.776041
625,PD0325901,LS513,-3.224086
626,PD173074,LS513,3.514301
627,PFI-1,LS513,4.402877
628,PFI3,LS513,5.737934
629,PLX-4720,LS513,5.060211
630,PRIMA-1MET,LS513,3.392785
631,PRT062607,LS513,2.476106
632,Palbociclib,LS513,1.209893
633,Picolinici-acid,LS513,4.748499
634,Pictilisib,LS513,0.296864
635,Podophyllotoxin bromide,LS513,-1.023477
636,RO-3306,LS513,2.570261
637,RVX-208,LS513,5.333803
638,Rapamycin,LS513,-1.05794
639,Refametinib,LS513,-1.83118
640,Ribociclib,LS513,1.62957
641,Romidepsin,LS513,-4.322347
642,Rucaparib,LS513,3.004406
643,Ruxolitinib,LS513,5.222221
644,SB505124,LS513,1.328481
645,SB590885,LS513,3.307989
646,SGC-CBP30,LS513,4.708829
647,SGC0946,LS513,1.776863
648,SN-38,LS513,-4.489221
649,Sabutoclax,LS513,-0.200939
650,Sapitinib,LS513,1.634124
651,Schweinfurthin A,LS513,3.308318
652,Selumetinib,LS513,-0.11144
653,Sinularin,LS513,2.589297
654,Staurosporine,LS513,-2.235196
655,TW 37,LS513,4.467028
656,Tanespimycin,LS513,-1.886624
657,Taselisib,LS513,0.327674
658,Temozolomide,LS513,7.248506
659,Temsirolimus,LS513,0.224156
660,Teniposide,LS513,1.352384
661,Topotecan,LS513,0.179324
662,Trametinib,LS513,-5.07196
663,UNC0379,LS513,2.50628
664,UNC0638,LS513,4.474052
665,Uprosertib,LS513,1.288134
666,VE-822,LS513,1.942905
667,VE821,LS513,2.798011
668,VX-11e,LS513,-0.154789
669,Veliparib,LS513,5.030822
670,Vinorelbine,LS513,-3.521728
671,Vismodegib,LS513,4.616114
672,WEHI-539,LS513,3.719036
673,WZ4003,LS513,3.224961
674,Wnt-C59,LS513,5.417568
675,XAV939,LS513,4.566113
676,ZM447439,LS513,1.744665
677,Zoledronate,LS513,4.536145
678,alpha-lipoic acid,LS513,7.90602
679,glutathione,LS513,8.468905
680,5-Fluorouracil,A101D,3.945825
681,5-azacytidine,A101D,1.198543
682,A-366,A101D,5.475173
683,ABT737,A101D,0.474327
684,AGI-5198,A101D,5.528712
685,AGK2,A101D,4.176421
686,AMG-319,A101D,3.48855
687,AT13148,A101D,3.01253
688,AZ6102,A101D,1.301374
689,AZ960,A101D,1.863709
690,AZD1208,A101D,4.76108
691,AZD1332,A101D,3.201106
692,AZD3759,A101D,2.991665
693,AZD4547,A101D,3.315949
694,AZD5153,A101D,0.408255
695,AZD5363,A101D,1.810588
696,AZD5438,A101D,1.296108
697,AZD5582,A101D,-4.857478
698,AZD5991,A101D,4.140862
699,AZD6738,A101D,1.003643
700,AZD7762,A101D,0.300596
701,AZD8055,A101D,-1.27046
702,AZD8186,A101D,1.907486
703,Afatinib,A101D,1.566515
704,Afuresertib,A101D,2.311981
705,Alisertib,A101D,1.283772
706,Alpelisib,A101D,4.226877
707,Avagacestat,A101D,4.064976
708,Axitinib,A101D,4.658258
709,BIBR-1532,A101D,4.784777
710,BMS-345541,A101D,4.974567
711,BMS-536924,A101D,3.229974
712,BMS-754807,A101D,2.67881
713,Bleomycin,A101D,2.168683
714,Bleomycin (50 uM),A101D,2.454798
715,Bortezomib,A101D,-6.884155
716,Bromosporine,A101D,2.010181
717,Buparlisib,A101D,0.294596
718,CCT007093,A101D,5.350212
719,CPI-637,A101D,4.177282
720,CZC24832,A101D,4.688979
721,Camptothecin,A101D,-2.762168
722,Carmustine,A101D,6.005621
723,Cisplatin,A101D,1.37653
724,Crizotinib,A101D,2.45638
725,Cyclophosphamide,A101D,5.782912
726,Cytarabine,A101D,0.560338
727,Dabrafenib,A101D,-1.036739
728,Dacarbazine,A101D,6.538847
729,Dactinomycin,A101D,-4.545826
730,Dactolisib,A101D,-3.345471
731,Dasatinib,A101D,1.832577
732,Dihydrorotenone,A101D,1.789078
733,Dinaciclib,A101D,-3.298414
734,Docetaxel,A101D,-4.384575
735,Doramapimod,A101D,5.856646
736,EHT-1864,A101D,4.342398
737,EPZ004777,A101D,4.620337
