,drug,cell_line,IC50
120,OSI-027,HL60,3.820561
121,OTX015,HL60,-0.554517
122,Obatoclax Mesylate,HL60,0.645424
123,Olaparib,HL60,3.475814
124,Osimertinib,HL60,1.05863
125,P22077,HL60,1.495135
126,PCI-34051,HL60,4.391048
127,PD0325901,HL60,-3.501066
128,PD173074,HL60,4.208856
129,PFI-1,HL60,2.459947
130,PFI3,HL60,4.259533
131,PLX-4720,HL60,3.794436
132,POMHEX,HL60,1.407742
133,PRIMA-1MET,HL60,5.892109
134,PRT062607,HL60,2.149309
135,Paclitaxel,HL60,-4.906881
136,Pevonedistat,HL60,-1.459439
137,Picolinici-acid,HL60,4.740492
138,Pictilisib,HL60,1.262272
139,Podophyllotoxin bromide,HL60,-1.674663
140,Pyridostatin,HL60,4.298902
141,RO-3306,HL60,4.847768
142,RVX-208,HL60,3.35364
143,Rapamycin,HL60,-1.398099
144,Refametinib,HL60,-1.167613
145,Remodelin,HL60,3.243689
146,Ribociclib,HL60,3.433514
147,Romidepsin,HL60,-6.094023
148,Rucaparib,HL60,3.78804
149,Ruxolitinib,HL60,3.372182
150,SB216763,HL60,3.882611
151,SB590885,HL60,3.906465
152,SCH772984,HL60,0.146872
153,SGC-CBP30,HL60,3.667655
154,SGC0946,HL60,1.874233
155,SN-38,HL60,-5.868396
156,Sabutoclax,HL60,0.814406
157,Sapitinib,HL60,3.307865
158,Savolitinib,HL60,1.442681
159,Schweinfurthin A,HL60,-1.71815
160,Selumetinib,HL60,0.441364
161,Sepantronium bromide,HL60,-5.547198
162,Serdemetan,HL60,3.580526
163,Sinularin,HL60,3.352685
164,Sorafenib,HL60,0.645929
165,Staurosporine,HL60,-2.354547
166,Talazoparib,HL60,0.970772
167,Tamoxifen,HL60,2.773471
168,Taselisib,HL60,1.075933
169,Telomerase Inhibitor IX,HL60,-0.174372
170,Temozolomide,HL60,5.287843
171,Teniposide,HL60,-1.596655
172,Topotecan,HL60,-1.336943
173,Trametinib,HL60,-3.320319
174,UMI-77,HL60,1.435243
175,UNC0379,HL60,4.588174
176,UNC0638,HL60,2.025077
177,VE-822,HL60,3.054477
178,VE821,HL60,4.8754
179,VX-11e,HL60,2.050311
180,Veliparib,HL60,4.110177
181,Venetoclax,HL60,-4.488296
182,Vincristine,HL60,-4.649077
183,Vinorelbine,HL60,-4.581106
184,Vorinostat,HL60,0.205701
185,WEHI-539,HL60,3.762251
186,WIKI4,HL60,2.307919
187,WZ4003,HL60,3.666695
188,Wee1 Inhibitor,HL60,0.84796
189,Wnt-C59,HL60,3.23988
190,XAV939,HL60,4.349326
191,YK-4-279,HL60,0.316688
192,ZM447439,HL60,-0.106262
193,Zoledronate,HL60,3.148767
194,alpha-lipoic acid,HL60,5.007582
195,5-Fluorouracil,HEL,2.462663
196,ABT737,HEL,0.727914
197,AGI-5198,HEL,4.37324
198,AGI-6780,HEL,3.053522
199,AGK2,HEL,3.435404
200,AMG-319,HEL,4.372633
201,AT13148,HEL,2.924252
202,AZ960,HEL,-0.45043
203,AZD1208,HEL,3.969908
204,AZD1332,HEL,3.827417
205,AZD2014,HEL,1.990833
206,AZD3759,HEL,1.690591
207,AZD4547,HEL,2.660068
208,AZD5153,HEL,-1.579341
209,AZD5363,HEL,4.258594
210,AZD5438,HEL,1.373512
211,AZD5582,HEL,4.464754
212,AZD6482,HEL,3.83721
213,AZD6738,HEL,-0.401548
214,AZD7762,HEL,-1.444233
215,AZD8186,HEL,4.372257
216,Acetalax,HEL,5.229914
217,Afatinib,HEL,1.830878
218,Afuresertib,HEL,2.702003
219,Alpelisib,HEL,3.426936
220,Axitinib,HEL,2.380458
221,BI-2536,HEL,-2.490341
222,BIBR-1532,HEL,4.341508
223,BMS-345541,HEL,1.703818
224,BMS-536924,HEL,1.081879
225,BMS-754807,HEL,2.841303
226,Bicalutamide,HEL,4.373083
227,Bleomycin,HEL,2.162377
228,Bortezomib,HEL,-5.526198
229,Bosutinib,HEL,1.223188
230,Bromosporine,HEL,1.232807
231,Buparlisib,HEL,1.076224
232,CCT-018159,HEL,2.639738
233,CCT007093,HEL,3.671145
234,CHIR-99021,HEL,1.043535
235,CZC24832,HEL,4.457007
236,Camptothecin,HEL,-3.978419
237,Carmustine,HEL,4.675045
238,Cediranib,HEL,1.947726
239,Crizotinib,HEL,1.63062
240,Cyclophosphamide,HEL,4.371572
241,Dabrafenib,HEL,3.765882
242,Dacarbazine,HEL,4.485565
243,Dactinomycin,HEL,-4.093321
244,Dactolisib,HEL,-2.54546
245,Daporinad,HEL,-5.692192
246,Dasatinib,HEL,2.165652
247,Dihydrorotenone,HEL,2.003986
248,Dinaciclib,HEL,-3.721416
249,Docetaxel,HEL,-2.894219
250,Doramapimod,HEL,2.989417
251,EHT-1864,HEL,2.898275
252,EPZ004777,HEL,3.648165
253,EPZ5676,HEL,4.556531
254,Elesclomol,HEL,-3.873658
255,Entinostat,HEL,0.481834
256,Entospletinib,HEL,2.510442
257,Epirubicin,HEL,-1.974206
258,Erlotinib,HEL,2.832938
259,Fludarabine,HEL,1.096348
260,Foretinib,HEL,2.901355
261,Fulvestrant,HEL,2.61263
262,GDC0810,HEL,4.373016
263,GNE-317,HEL,1.206981
264,GSK2578215A,HEL,3.7717
265,GSK2606414,HEL,2.635478
266,GSK269962A,HEL,2.759768
267,GSK2801,HEL,4.201838
268,GSK343,HEL,1.867207
269,GW441756,HEL,2.751303
270,Gallibiscoquinazole,HEL,2.008598
271,Gefitinib,HEL,2.442367
272,Gemcitabine,HEL,-4.820891
273,I-BET-762,HEL,1.439985
274,I-BRD9,HEL,2.473141
275,IOX2,HEL,1.277448
276,IWP-2,HEL,2.290308
277,Ibrutinib,HEL,3.803914
278,Ipatasertib,HEL,3.972406
279,Irinotecan,HEL,1.118997
280,JNK Inhibitor VIII,HEL,3.199606
281,JQ1,HEL,-0.718532
282,KRAS (G12C) Inhibitor-12,HEL,3.869663
283,KU-55933,HEL,4.139366
284,L-Oxonoreleagnine,HEL,1.962914
285,LGK974,HEL,3.820743
286,LJI308,HEL,4.167601
287,LMP744,HEL,-2.995625
288,LY2109761,HEL,3.744833
289,Lapatinib,HEL,2.532252
290,Leflunomide,HEL,3.650549
291,Lenalidomide,HEL,4.367074
292,Linsitinib,HEL,3.230307
293,Luminespib,HEL,-3.507849
294,MG-132,HEL,-1.846089
295,MIRA-1,HEL,3.277142
296,MK-2206,HEL,3.271386
297,ML323,HEL,3.72267
298,MN-64,HEL,2.697512
299,Methotrexate,HEL,-2.372109
300,Mirin,HEL,3.667897
301,Mitoxantrone,HEL,-1.480227
302,Motesanib,HEL,4.093971
303,NU7441,HEL,1.688381
304,NVP-ADW742,HEL,3.816078
305,Navitoclax,HEL,-0.098989
306,Nelarabine,HEL,3.647548
307,Nilotinib,HEL,3.046639
308,Niraparib,HEL,1.954565
309,Nutlin-3a (-),HEL,4.287108
310,OF-1,HEL,4.031677
311,OSI-027,HEL,1.843611
312,OTX015,HEL,-0.090018
313,Obatoclax Mesylate,HEL,1.18841
314,Olaparib,HEL,3.503609
315,Osimertinib,HEL,1.743062
316,P22077,HEL,1.974511
317,PCI-34051,HEL,2.604943
318,PD0325901,HEL,2.94561
319,PD173074,HEL,2.836276
320,PF-4708671,HEL,2.541509
321,PFI-1,HEL,2.288104
322,PFI3,HEL,4.011434
323,PLX-4720,HEL,3.103018
324,PRIMA-1MET,HEL,2.840747
325,PRT062607,HEL,2.055156
326,Paclitaxel,HEL,-2.214539
327,Pevonedistat,HEL,-2.09157
328,Picolinici-acid,HEL,4.305891
329,Pictilisib,HEL,1.988692
330,Piperlongumine,HEL,1.168082
331,Podophyllotoxin bromide,HEL,-1.467516
332,Pyridostatin,HEL,4.373158
333,RO-3306,HEL,1.500782
334,RVX-208,HEL,4.288528
335,Rapamycin,HEL,-1.231258
336,Refametinib,HEL,4.266376
337,Ribociclib,HEL,2.030058
338,Romidepsin,HEL,-5.02797
339,Rucaparib,HEL,3.221512
340,Ruxolitinib,HEL,1.434941
341,SB216763,HEL,2.228604
342,SB505124,HEL,3.876046
343,SB590885,HEL,3.544834
344,SCH772984,HEL,3.395692
345,SGC-CBP30,HEL,3.113634
346,SGC0946,HEL,1.168598
347,SL0101,HEL,3.070563
348,SN-38,HEL,-4.767978
349,Sabutoclax,HEL,-1.540775
350,Sapitinib,HEL,3.910589
351,Savolitinib,HEL,1.108371
352,Schweinfurthin A,HEL,-1.57222
353,Selumetinib,HEL,4.37794
354,Sepantronium bromide,HEL,-1.83873
355,Serdemetan,HEL,2.50108
356,Sinularin,HEL,2.954225
357,Sorafenib,HEL,1.859532
358,Staurosporine,HEL,-3.532707
359,Talazoparib,HEL,0.547618
360,Tamoxifen,HEL,4.306699
361,Taselisib,HEL,4.241866
362,Telomerase Inhibitor IX,HEL,0.007884
363,Temozolomide,HEL,4.056126
364,Teniposide,HEL,-1.205994
365,Topotecan,HEL,-1.103777
366,Tozasertib,HEL,1.441849
367,Trametinib,HEL,1.549934
368,Tretinoin,HEL,3.764337
369,VE-822,HEL,-0.014849
370,VE821,HEL,0.905257
371,VX-11e,HEL,2.47524
372,Veliparib,HEL,4.214052
373,Venetoclax,HEL,2.791771
374,Vincristine,HEL,-1.987847
375,Vinorelbine,HEL,-2.338475
376,Vorinostat,HEL,-0.043489
377,WEHI-539,HEL,0.162486
378,WIKI4,HEL,3.705608
379,WZ4003,HEL,3.187116
380,Wee1 Inhibitor,HEL,0.035601
381,Wnt-C59,HEL,3.354435
382,XAV939,HEL,3.142521
383,YK-4-279,HEL,2.033787
384,ZM447439,HEL,2.134254
385,Zoledronate,HEL,2.616975
386,5-Fluorouracil,MONOMAC6,0.072576
387,5-azacytidine,MONOMAC6,-0.026691
388,A-366,MONOMAC6,2.943793
389,ABT737,MONOMAC6,-0.383812
390,AGI-5198,MONOMAC6,3.6054
391,AGK2,MONOMAC6,1.891061
392,AMG-319,MONOMAC6,3.168427
393,AT13148,MONOMAC6,2.515083
394,AZD3759,MONOMAC6,2.26116
395,AZD4547,MONOMAC6,0.93736
396,AZD5363,MONOMAC6,0.668029
397,AZD6738,MONOMAC6,0.37761
398,AZD7762,MONOMAC6,-5.224524
399,AZD8055,MONOMAC6,-0.519294
400,AZD8186,MONOMAC6,0.329936
401,Afatinib,MONOMAC6,0.410422
402,Afuresertib,MONOMAC6,-0.969202
403,Alpelisib,MONOMAC6,3.08351
404,Axitinib,MONOMAC6,1.635504
405,BI-2536,MONOMAC6,-4.694406
406,BIBR-1532,MONOMAC6,3.771469
407,BMS-536924,MONOMAC6,-1.039763
408,BMS-754807,MONOMAC6,1.114902
409,Bleomycin (50 uM),MONOMAC6,4.258549
410,Bortezomib,MONOMAC6,-5.692622
411,Bosutinib,MONOMAC6,-0.189497
412,Buparlisib,MONOMAC6,-0.259172
413,CCT007093,MONOMAC6,4.779869
414,CPI-637,MONOMAC6,1.387387
415,Camptothecin,MONOMAC6,-3.878581
416,Cediranib,MONOMAC6,0.724321
417,Cisplatin,MONOMAC6,1.057342
418,Crizotinib,MONOMAC6,0.863304
419,Cyclophosphamide,MONOMAC6,4.761188
420,Cytarabine,MONOMAC6,1.6038
421,Dabrafenib,MONOMAC6,1.593584
422,Dactinomycin,MONOMAC6,-5.551418
423,Dactolisib,MONOMAC6,-3.14532
424,Daporinad,MONOMAC6,-6.360406
425,Dasatinib,MONOMAC6,0.601436
426,Docetaxel,MONOMAC6,-5.362865
427,Doramapimod,MONOMAC6,3.319389
428,EHT-1864,MONOMAC6,2.119919
429,EPZ004777,MONOMAC6,3.643607
430,EPZ5676,MONOMAC6,3.383985
431,Epirubicin,MONOMAC6,-1.279449
432,Erlotinib,MONOMAC6,1.927682
433,Foretinib,MONOMAC6,-5.432385
434,Fulvestrant,MONOMAC6,1.171788
435,GDC0810,MONOMAC6,4.653824
436,GNE-317,MONOMAC6,-0.384044
437,GSK2578215A,MONOMAC6,3.959929
438,GSK2830371,MONOMAC6,3.840053
439,GSK343,MONOMAC6,3.167461
440,GW441756,MONOMAC6,1.51788
441,Gefitinib,MONOMAC6,1.772904
442,Gemcitabine,MONOMAC6,-4.843396
443,I-BRD9,MONOMAC6,1.345108
444,ICL-SIRT078,MONOMAC6,2.162168
445,Ipatasertib,MONOMAC6,0.422304
446,Irinotecan,MONOMAC6,0.09869
447,JNK Inhibitor VIII,MONOMAC6,4.696689
448,JQ1,MONOMAC6,-1.728477
449,KU-55933,MONOMAC6,3.387302
450,LGK974,MONOMAC6,2.712634
451,LJI308,MONOMAC6,3.392309
452,Lapatinib,MONOMAC6,2.895672
453,Lenalidomide,MONOMAC6,3.754978
454,Linsitinib,MONOMAC6,3.131902
455,Luminespib,MONOMAC6,-4.936914
456,MG-132,MONOMAC6,-2.050918
457,MIM1,MONOMAC6,3.957696
458,MIRA-1,MONOMAC6,3.90638
459,MK-2206,MONOMAC6,0.212378
460,Methotrexate,MONOMAC6,-4.703608
461,Motesanib,MONOMAC6,4.225031
462,Mycophenolic acid,MONOMAC6,1.003588
463,N-acetyl cysteine,MONOMAC6,9.400527
464,NU7441,MONOMAC6,1.289203
465,NVP-ADW742,MONOMAC6,0.556723
466,Navitoclax,MONOMAC6,1.415579
467,Nilotinib,MONOMAC6,1.801977
468,Nutlin-3a (-),MONOMAC6,4.336738
469,OSI-027,MONOMAC6,1.119575
470,Obatoclax Mesylate,MONOMAC6,-0.9275
471,Olaparib,MONOMAC6,3.170312
472,Osimertinib,MONOMAC6,0.550132
473,P22077,MONOMAC6,0.986203
474,PD0325901,MONOMAC6,0.066447
475,PD173074,MONOMAC6,2.519559
476,PFI-1,MONOMAC6,1.465349
477,PLX-4720,MONOMAC6,0.4971
478,POMHEX,MONOMAC6,-0.161213
479,Paclitaxel,MONOMAC6,-5.82445
480,Pevonedistat,MONOMAC6,-4.033075
481,Pictilisib,MONOMAC6,-0.349823
482,Pyridostatin,MONOMAC6,2.796411
483,RO-3306,MONOMAC6,2.053315
484,Rapamycin,MONOMAC6,-3.108759
485,Refametinib,MONOMAC6,-0.360598
486,Ribociclib,MONOMAC6,3.069551
487,Rucaparib,MONOMAC6,2.372484
488,SB216763,MONOMAC6,4.602899
489,SB590885,MONOMAC6,4.086722
490,SCH772984,MONOMAC6,1.356441
491,SGC0946,MONOMAC6,1.478139
492,SN-38,MONOMAC6,-5.062373
493,Sapitinib,MONOMAC6,3.48152
494,Savolitinib,MONOMAC6,0.797373
495,Selumetinib,MONOMAC6,1.823184
496,Sepantronium bromide,MONOMAC6,-4.214986
497,Serdemetan,MONOMAC6,1.89959
498,Sorafenib,MONOMAC6,-4.572455
499,Staurosporine,MONOMAC6,-5.909916
500,TW 37,MONOMAC6,0.312281
501,Talazoparib,MONOMAC6,0.707492
502,Tamoxifen,MONOMAC6,1.862034
503,Taselisib,MONOMAC6,-0.266481
504,Telomerase Inhibitor IX,MONOMAC6,-0.722456
505,Temozolomide,MONOMAC6,3.176285
506,Trametinib,MONOMAC6,-1.376072
507,UMI-77,MONOMAC6,1.620338
508,UNC0379,MONOMAC6,1.334856
509,UNC0638,MONOMAC6,1.883743
510,VE821,MONOMAC6,2.003538
511,VX-11e,MONOMAC6,1.284252
512,Veliparib,MONOMAC6,3.977152
513,Venetoclax,MONOMAC6,0.578429
514,Vinorelbine,MONOMAC6,-4.617505
515,Vorinostat,MONOMAC6,0.087911
516,WEHI-539,MONOMAC6,2.517096
517,WIKI4,MONOMAC6,4.778531
518,Wee1 Inhibitor,MONOMAC6,-0.52499
519,YK-4-279,MONOMAC6,0.335603
520,ZM447439,MONOMAC6,0.962118
521,alpha-lipoic acid,MONOMAC6,6.211133
522,5-Fluorouracil,LS513,1.742438
523,5-azacytidine,LS513,3.380988
524,A-366,LS513,3.638545
525,AGI-6780,LS513,4.47839
526,AGK2,LS513,2.611247
527,AT13148,LS513,4.4434
528,AZ960,LS513,2.629074
529,AZD1208,LS513,3.668332
530,AZD1332,LS513,4.486385
531,AZD2014,LS513,1.281718
532,AZD3759,LS513,1.446812
533,AZD4547,LS513,3.99813
534,AZD5153,LS513,2.064885
535,AZD5438,LS513,0.993794
536,AZD5582,LS513,4.829677
537,AZD7762,LS513,0.715533
538,AZD8055,LS513,-0.138152
539,Acetalax,LS513,5.590222
540,Afatinib,LS513,-0.259734
541,Alpelisib,LS513,3.180765
542,Axitinib,LS513,2.513083
543,BI-2536,LS513,-0.877715
544,BMS-345541,LS513,2.135081
545,BMS-754807,LS513,-1.114806
546,Bleomycin,LS513,2.038504
547,Bleomycin (50 uM),LS513,1.510962
548,Bosutinib,LS513,3.329184
549,Bromosporine,LS513,1.947817
550,CCT007093,LS513,5.698212
551,CPI-637,LS513,5.611521
552,CZC24832,LS513,4.956259
553,Camptothecin,LS513,-3.160246
554,Carmustine,LS513,6.951097
555,Cisplatin,LS513,2.919147
556,Crizotinib,LS513,1.277685
557,Dabrafenib,LS513,4.404782
558,Dacarbazine,LS513,6.567301
559,Dactinomycin,LS513,-3.760591
560,Daporinad,LS513,-3.855835
561,Dasatinib,LS513,2.264065
562,Dihydrorotenone,LS513,2.075017
563,Dinaciclib,LS513,-2.886744
564,Docetaxel,LS513,-3.711243
565,Doramapimod,LS513,5.35352
566,EHT-1864,LS513,3.170517
567,EPZ004777,LS513,5.859496
568,EPZ5676,LS513,5.133465
569,Entinostat,LS513,1.350856
570,Entospletinib,LS513,4.500123
571,Fludarabine,LS513,3.534461
572,Fulvestrant,LS513,6.0177
573,GSK2606414,LS513,3.552131
574,GSK2801,LS513,5.172107
575,GSK2830371,LS513,5.658243
576,GSK343,LS513,3.158856
577,GW441756,LS513,3.981601
578,Gallibiscoquinazole,LS513,3.494294
579,Gemcitabine,LS513,-3.243612
580,I-BET-762,LS513,3.169127
581,IWP-2,LS513,3.441628
582,Ibrutinib,LS513,4.813731
583,Irinotecan,LS513,1.813011
584,JNK Inhibitor VIII,LS513,5.540519
585,JQ1,LS513,1.464482
586,KRAS (G12C) Inhibitor-12,LS513,4.124174
587,KU-55933,LS513,5.775309
588,L-Oxonoreleagnine,LS513,4.146112
589,LGK974,LS513,4.447995
590,LJI308,LS513,4.729262
591,LMP744,LS513,-0.66299
592,LY2109761,LS513,4.92314
593,Lapatinib,LS513,1.37076
594,Leflunomide,LS513,5.065966
595,Lenalidomide,LS513,5.504545
596,Linsitinib,LS513,1.593206
597,Luminespib,LS513,-3.726129
598,MG-132,LS513,-1.429434
599,MIRA-1,LS513,4.312625
600,MK-2206,LS513,0.824578
601,ML323,LS513,4.24133
602,MN-64,LS513,5.071992
603,Methotrexate,LS513,-0.864728
604,Mirin,LS513,4.089461
605,Mitoxantrone,LS513,0.384495
606,Motesanib,LS513,5.775309
607,Mycophenolic acid,LS513,0.645459
608,N-acetyl cysteine,LS513,8.988045
609,NU7441,LS513,3.189255
610,Navitoclax,LS513,2.150489
611,Nelarabine,LS513,6.796692
612,Niraparib,LS513,3.769896
613,Nutlin-3a (-),LS513,1.406242
614,OF-1,LS513,4.4166
615,OSI-027,LS513,4.801549
616,OTX015,LS513,2.015937
617,Obatoclax Mesylate,LS513,0.521782
618,Olaparib,LS513,3.813458
619,PCI-34051,LS513,3.487065
620,PD0325901,LS513,-3.224086
621,PD173074,LS513,3.514301
622,PFI-1,LS513,4.402877
623,PFI3,LS513,5.737934
624,PLX-4720,LS513,5.060211
625,POMHEX,LS513,0.590036
626,PRIMA-1MET,LS513,3.392785
627,PRT062607,LS513,2.476106
628,Picolinici-acid,LS513,4.748499
629,Pictilisib,LS513,0.296864
630,Podophyllotoxin bromide,LS513,-1.023477
631,RO-3306,LS513,2.570261
632,RVX-208,LS513,5.333803
633,Rapamycin,LS513,-1.05794
634,Refametinib,LS513,-1.83118
635,Ribociclib,LS513,1.62957
636,Romidepsin,LS513,-4.322347
637,Rucaparib,LS513,3.004406
638,Ruxolitinib,LS513,5.222221
639,SB216763,LS513,3.048123
640,SB505124,LS513,1.328481
641,SB590885,LS513,3.307989
642,SCH772984,LS513,0.024482
643,SGC-CBP30,LS513,4.708829
644,SGC0946,LS513,1.776863
645,SN-38,LS513,-4.489221
646,Sabutoclax,LS513,-0.200939
647,Sapitinib,LS513,1.634124
648,Schweinfurthin A,LS513,3.308318
649,Selumetinib,LS513,-0.11144
650,Serdemetan,LS513,3.282957
651,Sinularin,LS513,2.589297
652,Staurosporine,LS513,-2.235196
653,TW 37,LS513,4.467028
654,Taselisib,LS513,0.327674
655,Temozolomide,LS513,7.248506
656,Teniposide,LS513,1.352384
657,Topotecan,LS513,0.179324
658,Trametinib,LS513,-5.07196
659,UNC0379,LS513,2.50628
660,UNC0638,LS513,4.474052
661,VE-822,LS513,1.942905
662,VE821,LS513,2.798011
663,VX-11e,LS513,-0.154789
664,Veliparib,LS513,5.030822
665,Vincristine,LS513,-1.685101
666,Vinorelbine,LS513,-3.521728
667,WEHI-539,LS513,3.719036
668,WZ4003,LS513,3.224961
669,Wnt-C59,LS513,5.417568
670,XAV939,LS513,4.566113
671,ZM447439,LS513,1.744665
672,Zoledronate,LS513,4.536145
673,alpha-lipoic acid,LS513,7.90602
674,5-Fluorouracil,A101D,3.945825
675,5-azacytidine,A101D,1.198543
676,A-366,A101D,5.475173
677,ABT737,A101D,0.474327
678,AGI-5198,A101D,5.528712
679,AGI-6780,A101D,4.501571
680,AGK2,A101D,4.176421
681,AMG-319,A101D,3.48855
682,AT13148,A101D,3.01253
683,AZ960,A101D,1.863709
684,AZD1208,A101D,4.76108
685,AZD1332,A101D,3.201106
686,AZD2014,A101D,0.632457
687,AZD3759,A101D,2.991665
688,AZD4547,A101D,3.315949
689,AZD5153,A101D,0.408255
690,AZD5363,A101D,1.810588
691,AZD5438,A101D,1.296108
692,AZD5582,A101D,-4.857478
693,AZD6738,A101D,1.003643
694,AZD7762,A101D,0.300596
695,AZD8055,A101D,-1.27046
696,AZD8186,A101D,1.907486
697,Acetalax,A101D,7.083142
698,Afatinib,A101D,1.566515
699,Afuresertib,A101D,2.311981
700,Alpelisib,A101D,4.226877
701,Axitinib,A101D,4.658258
702,BI-2536,A101D,-1.946281
703,BIBR-1532,A101D,4.784777
704,BMS-345541,A101D,4.974567
705,BMS-536924,A101D,3.229974
706,BMS-754807,A101D,2.67881
707,Bleomycin,A101D,2.168683
708,Bleomycin (50 uM),A101D,2.454798
709,Bortezomib,A101D,-6.884155
710,Bosutinib,A101D,3.215838
711,Bromosporine,A101D,2.010181
712,Buparlisib,A101D,0.294596
713,CCT007093,A101D,5.350212
714,CPI-637,A101D,4.177282
715,CZC24832,A101D,4.688979
716,Camptothecin,A101D,-2.762168
717,Carmustine,A101D,6.005621
718,Cediranib,A101D,2.154311
719,Cisplatin,A101D,1.37653
720,Crizotinib,A101D,2.45638
721,Cyclophosphamide,A101D,5.782912
722,Cytarabine,A101D,0.560338
723,Dabrafenib,A101D,-1.036739
724,Dacarbazine,A101D,6.538847
725,Dactinomycin,A101D,-4.545826
726,Dactolisib,A101D,-3.345471
727,Dasatinib,A101D,1.832577
728,Dihydrorotenone,A101D,1.789078
729,Dinaciclib,A101D,-3.298414
730,Docetaxel,A101D,-4.384575
731,Doramapimod,A101D,5.856646
732,EHT-1864,A101D,4.342398
733,EPZ004777,A101D,4.620337
734,EPZ5676,A101D,5.599818
735,Entinostat,A101D,1.364011
736,Entospletinib,A101D,3.068
737,Epirubicin,A101D,-2.126764
738,Erlotinib,A101D,2.081909
739,Fludarabine,A101D,4.887141
