,drug,cell_line,IC50
271,GSK2606414,HEL,2.635478
272,GSK269962A,HEL,2.759768
273,GSK2801,HEL,4.201838
274,GSK343,HEL,1.867207
275,GSK591,HEL,2.624115
276,GW441756,HEL,2.751303
277,Gallibiscoquinazole,HEL,2.008598
278,Gefitinib,HEL,2.442367
279,Gemcitabine,HEL,-4.820891
280,I-BET-762,HEL,1.439985
281,I-BRD9,HEL,2.473141
282,IOX2,HEL,1.277448
283,IWP-2,HEL,2.290308
284,Ipatasertib,HEL,3.972406
285,Irinotecan,HEL,1.118997
286,JNK Inhibitor VIII,HEL,3.199606
287,JQ1,HEL,-0.718532
288,KRAS (G12C) Inhibitor-12,HEL,3.869663
289,KU-55933,HEL,4.139366
290,L-Oxonoreleagnine,HEL,1.962914
291,LCL161,HEL,4.511036
292,LGK974,HEL,3.820743
293,LMP744,HEL,-2.995625
294,LY2109761,HEL,3.744833
295,Lapatinib,HEL,2.532252
296,Leflunomide,HEL,3.650549
297,Lenalidomide,HEL,4.367074
298,Lestaurtinib,HEL,-0.851305
299,Linsitinib,HEL,3.230307
300,Luminespib,HEL,-3.507849
301,MG-132,HEL,-1.846089
302,MIRA-1,HEL,3.277142
303,MK-1775,HEL,-1.025868
304,MK-8776,HEL,0.553272
305,ML323,HEL,3.72267
306,MN-64,HEL,2.697512
307,Methotrexate,HEL,-2.372109
308,Mirin,HEL,3.667897
309,Mitoxantrone,HEL,-1.480227
310,NU7441,HEL,1.688381
311,NVP-ADW742,HEL,3.816078
312,Navitoclax,HEL,-0.098989
313,Nelarabine,HEL,3.647548
314,Nilotinib,HEL,3.046639
315,Niraparib,HEL,1.954565
316,Nutlin-3a (-),HEL,4.287108
317,OF-1,HEL,4.031677
318,OSI-027,HEL,1.843611
319,OTX015,HEL,-0.090018
320,Obatoclax Mesylate,HEL,1.18841
321,Olaparib,HEL,3.503609
322,Osimertinib,HEL,1.743062
323,Oxaliplatin,HEL,2.097369
324,P22077,HEL,1.974511
325,PCI-34051,HEL,2.604943
326,PD0325901,HEL,2.94561
327,PD173074,HEL,2.836276
328,PFI-1,HEL,2.288104
329,PLX-4720,HEL,3.103018
330,PRT062607,HEL,2.055156
331,Paclitaxel,HEL,-2.214539
332,Palbociclib,HEL,1.188299
333,Pevonedistat,HEL,-2.09157
334,Picolinici-acid,HEL,4.305891
335,Pictilisib,HEL,1.988692
336,Podophyllotoxin bromide,HEL,-1.467516
337,Pyridostatin,HEL,4.373158
338,RO-3306,HEL,1.500782
339,RVX-208,HEL,4.288528
340,Rapamycin,HEL,-1.231258
341,Refametinib,HEL,4.266376
342,Ribociclib,HEL,2.030058
343,Romidepsin,HEL,-5.02797
344,Rucaparib,HEL,3.221512
345,Ruxolitinib,HEL,1.434941
346,SB216763,HEL,2.228604
347,SB505124,HEL,3.876046
348,SB590885,HEL,3.544834
349,SCH772984,HEL,3.395692
350,SGC-CBP30,HEL,3.113634
351,SGC0946,HEL,1.168598
352,SL0101,HEL,3.070563
353,SN-38,HEL,-4.767978
354,Sabutoclax,HEL,-1.540775
355,Sapitinib,HEL,3.910589
356,Savolitinib,HEL,1.108371
357,Schweinfurthin A,HEL,-1.57222
358,Selumetinib,HEL,4.37794
359,Serdemetan,HEL,2.50108
360,Sinularin,HEL,2.954225
361,Sorafenib,HEL,1.859532
362,Staurosporine,HEL,-3.532707
363,Talazoparib,HEL,0.547618
364,Tamoxifen,HEL,4.306699
365,Tanespimycin,HEL,0.217353
366,Taselisib,HEL,4.241866
367,Telomerase Inhibitor IX,HEL,0.007884
368,Temozolomide,HEL,4.056126
369,Temsirolimus,HEL,0.472727
370,Teniposide,HEL,-1.205994
371,Tozasertib,HEL,1.441849
372,Trametinib,HEL,1.549934
373,Tretinoin,HEL,3.764337
374,Ulixertinib,HEL,3.630857
375,Uprosertib,HEL,3.792156
376,VE-822,HEL,-0.014849
377,VE821,HEL,0.905257
378,VX-11e,HEL,2.47524
379,Veliparib,HEL,4.214052
380,Venetoclax,HEL,2.791771
381,Vincristine,HEL,-1.987847
382,Vinorelbine,HEL,-2.338475
383,Vismodegib,HEL,3.815731
384,Vorinostat,HEL,-0.043489
385,WEHI-539,HEL,0.162486
386,WIKI4,HEL,3.705608
387,WZ4003,HEL,3.187116
388,Wee1 Inhibitor,HEL,0.035601
389,Wnt-C59,HEL,3.354435
390,YK-4-279,HEL,2.033787
391,5-Fluorouracil,MONOMAC6,0.072576
392,A-366,MONOMAC6,2.943793
393,AGI-5198,MONOMAC6,3.6054
394,AGK2,MONOMAC6,1.891061
395,AMG-319,MONOMAC6,3.168427
396,AT13148,MONOMAC6,2.515083
397,AZ6102,MONOMAC6,1.096492
398,AZD3759,MONOMAC6,2.26116
399,AZD5363,MONOMAC6,0.668029
400,AZD6738,MONOMAC6,0.37761
401,AZD8055,MONOMAC6,-0.519294
402,AZD8186,MONOMAC6,0.329936
403,Afatinib,MONOMAC6,0.410422
404,Afuresertib,MONOMAC6,-0.969202
405,Alisertib,MONOMAC6,1.402632
406,Alpelisib,MONOMAC6,3.08351
407,Avagacestat,MONOMAC6,3.139284
408,Axitinib,MONOMAC6,1.635504
409,BI-2536,MONOMAC6,-4.694406
410,BMS-536924,MONOMAC6,-1.039763
411,BMS-754807,MONOMAC6,1.114902
412,Bortezomib,MONOMAC6,-5.692622
413,Bosutinib,MONOMAC6,-0.189497
414,Buparlisib,MONOMAC6,-0.259172
415,CCT007093,MONOMAC6,4.779869
416,CPI-637,MONOMAC6,1.387387
417,Camptothecin,MONOMAC6,-3.878581
418,Cediranib,MONOMAC6,0.724321
419,Crizotinib,MONOMAC6,0.863304
420,Cyclophosphamide,MONOMAC6,4.761188
421,Cytarabine,MONOMAC6,1.6038
422,Dabrafenib,MONOMAC6,1.593584
423,Dactinomycin,MONOMAC6,-5.551418
424,Dactolisib,MONOMAC6,-3.14532
425,Daporinad,MONOMAC6,-6.360406
426,Dasatinib,MONOMAC6,0.601436
427,Docetaxel,MONOMAC6,-5.362865
428,Doramapimod,MONOMAC6,3.319389
429,EHT-1864,MONOMAC6,2.119919
430,EPZ004777,MONOMAC6,3.643607
431,EPZ5676,MONOMAC6,3.383985
432,Epirubicin,MONOMAC6,-1.279449
433,Erlotinib,MONOMAC6,1.927682
434,Foretinib,MONOMAC6,-5.432385
435,Fulvestrant,MONOMAC6,1.171788
436,GDC0810,MONOMAC6,4.653824
437,GNE-317,MONOMAC6,-0.384044
438,GSK1904529A,MONOMAC6,3.361578
439,GSK2578215A,MONOMAC6,3.959929
440,GSK343,MONOMAC6,3.167461
441,GSK591,MONOMAC6,3.8941
442,GW441756,MONOMAC6,1.51788
443,Gefitinib,MONOMAC6,1.772904
444,Gemcitabine,MONOMAC6,-4.843396
445,I-BRD9,MONOMAC6,1.345108
446,ICL-SIRT078,MONOMAC6,2.162168
447,Ipatasertib,MONOMAC6,0.422304
448,Irinotecan,MONOMAC6,0.09869
449,JNK Inhibitor VIII,MONOMAC6,4.696689
450,JQ1,MONOMAC6,-1.728477
451,KU-55933,MONOMAC6,3.387302
452,LGK974,MONOMAC6,2.712634
453,Lapatinib,MONOMAC6,2.895672
454,Lenalidomide,MONOMAC6,3.754978
455,Lestaurtinib,MONOMAC6,-4.419524
456,Linsitinib,MONOMAC6,3.131902
457,Luminespib,MONOMAC6,-4.936914
458,MG-132,MONOMAC6,-2.050918
459,MIM1,MONOMAC6,3.957696
460,MIRA-1,MONOMAC6,3.90638
461,MK-1775,MONOMAC6,-1.030491
462,MK-8776,MONOMAC6,-0.148302
463,Methotrexate,MONOMAC6,-4.703608
464,Mycophenolic acid,MONOMAC6,1.003588
465,N-acetyl cysteine,MONOMAC6,9.400527
466,NU7441,MONOMAC6,1.289203
467,NVP-ADW742,MONOMAC6,0.556723
468,Navitoclax,MONOMAC6,1.415579
469,Nilotinib,MONOMAC6,1.801977
470,Nutlin-3a (-),MONOMAC6,4.336738
471,OSI-027,MONOMAC6,1.119575
472,Obatoclax Mesylate,MONOMAC6,-0.9275
473,Olaparib,MONOMAC6,3.170312
474,Osimertinib,MONOMAC6,0.550132
475,Oxaliplatin,MONOMAC6,1.637134
476,P22077,MONOMAC6,0.986203
477,PD0325901,MONOMAC6,0.066447
478,PD173074,MONOMAC6,2.519559
479,PFI-1,MONOMAC6,1.465349
480,PLX-4720,MONOMAC6,0.4971
481,POMHEX,MONOMAC6,-0.161213
482,Paclitaxel,MONOMAC6,-5.82445
483,Palbociclib,MONOMAC6,1.859921
484,Pevonedistat,MONOMAC6,-4.033075
485,Pictilisib,MONOMAC6,-0.349823
486,Pyridostatin,MONOMAC6,2.796411
487,RO-3306,MONOMAC6,2.053315
488,Rapamycin,MONOMAC6,-3.108759
489,Refametinib,MONOMAC6,-0.360598
490,Ribociclib,MONOMAC6,3.069551
491,Rucaparib,MONOMAC6,2.372484
492,SB216763,MONOMAC6,4.602899
493,SB590885,MONOMAC6,4.086722
494,SCH772984,MONOMAC6,1.356441
495,SGC0946,MONOMAC6,1.478139
496,SN-38,MONOMAC6,-5.062373
497,Sapitinib,MONOMAC6,3.48152
498,Savolitinib,MONOMAC6,0.797373
499,Selumetinib,MONOMAC6,1.823184
500,Serdemetan,MONOMAC6,1.89959
501,Sorafenib,MONOMAC6,-4.572455
502,Staurosporine,MONOMAC6,-5.909916
503,Talazoparib,MONOMAC6,0.707492
504,Tamoxifen,MONOMAC6,1.862034
505,Tanespimycin,MONOMAC6,-1.510369
506,Taselisib,MONOMAC6,-0.266481
507,Telomerase Inhibitor IX,MONOMAC6,-0.722456
508,Temozolomide,MONOMAC6,3.176285
509,Temsirolimus,MONOMAC6,-0.181792
510,Trametinib,MONOMAC6,-1.376072
511,UMI-77,MONOMAC6,1.620338
512,UNC0379,MONOMAC6,1.334856
513,UNC0638,MONOMAC6,1.883743
514,Ulixertinib,MONOMAC6,1.703154
515,Uprosertib,MONOMAC6,1.111944
516,VE821,MONOMAC6,2.003538
517,VX-11e,MONOMAC6,1.284252
518,Veliparib,MONOMAC6,3.977152
519,Venetoclax,MONOMAC6,0.578429
520,Vinblastine,MONOMAC6,-6.359207
521,Vinorelbine,MONOMAC6,-4.617505
522,Vismodegib,MONOMAC6,4.084193
523,Vorinostat,MONOMAC6,0.087911
524,WEHI-539,MONOMAC6,2.517096
525,WIKI4,MONOMAC6,4.778531
526,Wee1 Inhibitor,MONOMAC6,-0.52499
527,YK-4-279,MONOMAC6,0.335603
528,alpha-lipoic acid,MONOMAC6,6.211133
529,glutathione,MONOMAC6,8.923178
530,5-Fluorouracil,LS513,1.742438
531,A-366,LS513,3.638545
532,AGI-6780,LS513,4.47839
533,AGK2,LS513,2.611247
534,AT13148,LS513,4.4434
535,AZ6102,LS513,0.798365
536,AZ960,LS513,2.629074
537,AZD1208,LS513,3.668332
538,AZD1332,LS513,4.486385
539,AZD2014,LS513,1.281718
540,AZD3759,LS513,1.446812
541,AZD5153,LS513,2.064885
542,AZD5438,LS513,0.993794
543,AZD5582,LS513,4.829677
544,AZD5991,LS513,6.149584
545,AZD8055,LS513,-0.138152
546,Acetalax,LS513,5.590222
547,Afatinib,LS513,-0.259734
548,Alisertib,LS513,0.25052
549,Alpelisib,LS513,3.180765
550,Avagacestat,LS513,4.887107
551,Axitinib,LS513,2.513083
552,BI-2536,LS513,-0.877715
553,BMS-345541,LS513,2.135081
554,BMS-754807,LS513,-1.114806
555,Bleomycin,LS513,2.038504
556,Bosutinib,LS513,3.329184
557,Bromosporine,LS513,1.947817
558,CCT007093,LS513,5.698212
559,CPI-637,LS513,5.611521
560,CZC24832,LS513,4.956259
561,Camptothecin,LS513,-3.160246
562,Crizotinib,LS513,1.277685
563,Dabrafenib,LS513,4.404782
564,Dacarbazine,LS513,6.567301
565,Dactinomycin,LS513,-3.760591
566,Daporinad,LS513,-3.855835
567,Dasatinib,LS513,2.264065
568,Dihydrorotenone,LS513,2.075017
569,Dinaciclib,LS513,-2.886744
570,Docetaxel,LS513,-3.711243
571,Doramapimod,LS513,5.35352
572,EHT-1864,LS513,3.170517
573,EPZ004777,LS513,5.859496
574,EPZ5676,LS513,5.133465
575,Elephantin,LS513,1.96435
576,Entinostat,LS513,1.350856
577,Entospletinib,LS513,4.500123
578,Fludarabine,LS513,3.534461
579,Fulvestrant,LS513,6.0177
580,GSK-LSD1,LS513,1.683692
581,GSK1904529A,LS513,4.405936
582,GSK2110183B,LS513,1.405565
583,GSK2606414,LS513,3.552131
584,GSK2801,LS513,5.172107
585,GSK343,LS513,3.158856
586,GSK591,LS513,4.441317
587,GW441756,LS513,3.981601
588,Gallibiscoquinazole,LS513,3.494294
589,Gemcitabine,LS513,-3.243612
590,I-BET-762,LS513,3.169127
591,IWP-2,LS513,3.441628
592,Irinotecan,LS513,1.813011
593,JNK Inhibitor VIII,LS513,5.540519
594,JQ1,LS513,1.464482
595,KRAS (G12C) Inhibitor-12,LS513,4.124174
596,KU-55933,LS513,5.775309
597,L-Oxonoreleagnine,LS513,4.146112
598,LCL161,LS513,5.528602
599,LGK974,LS513,4.447995
600,LMP744,LS513,-0.66299
601,LY2109761,LS513,4.92314
602,Lapatinib,LS513,1.37076
603,Leflunomide,LS513,5.065966
604,Lenalidomide,LS513,5.504545
605,Lestaurtinib,LS513,0.024441
606,Linsitinib,LS513,1.593206
607,Luminespib,LS513,-3.726129
608,MG-132,LS513,-1.429434
609,MIRA-1,LS513,4.312625
610,MK-1775,LS513,-0.595952
611,ML323,LS513,4.24133
612,MN-64,LS513,5.071992
613,Methotrexate,LS513,-0.864728
614,Mirin,LS513,4.089461
615,Mitoxantrone,LS513,0.384495
616,Mycophenolic acid,LS513,0.645459
617,N-acetyl cysteine,LS513,8.988045
618,NU7441,LS513,3.189255
619,Navitoclax,LS513,2.150489
620,Nelarabine,LS513,6.796692
621,Niraparib,LS513,3.769896
622,Nutlin-3a (-),LS513,1.406242
623,OF-1,LS513,4.4166
624,OSI-027,LS513,4.801549
625,OTX015,LS513,2.015937
626,Obatoclax Mesylate,LS513,0.521782
627,Olaparib,LS513,3.813458
628,Oxaliplatin,LS513,1.776041
629,PCI-34051,LS513,3.487065
630,PD0325901,LS513,-3.224086
631,PD173074,LS513,3.514301
632,PFI-1,LS513,4.402877
633,PLX-4720,LS513,5.060211
634,POMHEX,LS513,0.590036
635,PRT062607,LS513,2.476106
636,Palbociclib,LS513,1.209893
637,Picolinici-acid,LS513,4.748499
638,Pictilisib,LS513,0.296864
639,Podophyllotoxin bromide,LS513,-1.023477
640,RO-3306,LS513,2.570261
641,RVX-208,LS513,5.333803
642,Rapamycin,LS513,-1.05794
643,Refametinib,LS513,-1.83118
644,Ribociclib,LS513,1.62957
645,Romidepsin,LS513,-4.322347
646,Rucaparib,LS513,3.004406
647,Ruxolitinib,LS513,5.222221
648,SB216763,LS513,3.048123
649,SB505124,LS513,1.328481
650,SB590885,LS513,3.307989
651,SCH772984,LS513,0.024482
652,SGC-CBP30,LS513,4.708829
653,SGC0946,LS513,1.776863
654,SN-38,LS513,-4.489221
655,Sabutoclax,LS513,-0.200939
656,Sapitinib,LS513,1.634124
657,Schweinfurthin A,LS513,3.308318
658,Selumetinib,LS513,-0.11144
659,Serdemetan,LS513,3.282957
660,Sinularin,LS513,2.589297
661,Staurosporine,LS513,-2.235196
662,Tanespimycin,LS513,-1.886624
663,Taselisib,LS513,0.327674
664,Temozolomide,LS513,7.248506
665,Temsirolimus,LS513,0.224156
666,Teniposide,LS513,1.352384
667,Trametinib,LS513,-5.07196
668,UNC0379,LS513,2.50628
669,UNC0638,LS513,4.474052
670,Uprosertib,LS513,1.288134
671,VE-822,LS513,1.942905
672,VE821,LS513,2.798011
673,VX-11e,LS513,-0.154789
674,Veliparib,LS513,5.030822
675,Vincristine,LS513,-1.685101
676,Vinorelbine,LS513,-3.521728
677,Vismodegib,LS513,4.616114
678,WEHI-539,LS513,3.719036
679,WZ4003,LS513,3.224961
680,Wnt-C59,LS513,5.417568
681,alpha-lipoic acid,LS513,7.90602
682,glutathione,LS513,8.468905
683,5-Fluorouracil,A101D,3.945825
684,A-366,A101D,5.475173
685,AGI-5198,A101D,5.528712
686,AGI-6780,A101D,4.501571
687,AGK2,A101D,4.176421
688,AMG-319,A101D,3.48855
689,AT13148,A101D,3.01253
690,AZ6102,A101D,1.301374
691,AZ960,A101D,1.863709
692,AZD1208,A101D,4.76108
693,AZD1332,A101D,3.201106
694,AZD2014,A101D,0.632457
695,AZD3759,A101D,2.991665
696,AZD5153,A101D,0.408255
697,AZD5363,A101D,1.810588
698,AZD5438,A101D,1.296108
699,AZD5582,A101D,-4.857478
700,AZD5991,A101D,4.140862
701,AZD6738,A101D,1.003643
702,AZD8055,A101D,-1.27046
703,AZD8186,A101D,1.907486
704,Acetalax,A101D,7.083142
705,Afatinib,A101D,1.566515
706,Afuresertib,A101D,2.311981
707,Alisertib,A101D,1.283772
708,Alpelisib,A101D,4.226877
709,Avagacestat,A101D,4.064976
710,Axitinib,A101D,4.658258
711,BI-2536,A101D,-1.946281
712,BMS-345541,A101D,4.974567
713,BMS-536924,A101D,3.229974
714,BMS-754807,A101D,2.67881
715,Bleomycin,A101D,2.168683
716,Bortezomib,A101D,-6.884155
717,Bosutinib,A101D,3.215838
718,Bromosporine,A101D,2.010181
719,Buparlisib,A101D,0.294596
720,CCT007093,A101D,5.350212
721,CPI-637,A101D,4.177282
722,CZC24832,A101D,4.688979
723,Camptothecin,A101D,-2.762168
724,Cediranib,A101D,2.154311
725,Crizotinib,A101D,2.45638
726,Cyclophosphamide,A101D,5.782912
727,Cytarabine,A101D,0.560338
728,Dabrafenib,A101D,-1.036739
729,Dacarbazine,A101D,6.538847
730,Dactinomycin,A101D,-4.545826
731,Dactolisib,A101D,-3.345471
732,Dasatinib,A101D,1.832577
733,Dihydrorotenone,A101D,1.789078
734,Dinaciclib,A101D,-3.298414
735,Docetaxel,A101D,-4.384575
736,Doramapimod,A101D,5.856646
737,EHT-1864,A101D,4.342398
738,EPZ004777,A101D,4.620337
